id	titlescore	titlestd
10qkgl	57.8888888889	54.1734753556
10qw11	274	291.144762493
10r31v	281.727272727	375.946343103
10r4i7	102.653225806	259.91901792
10r6k0	125.205882353	417.345505952
10r6sf	98.0253807107	209.239217446
10ramt	56.490990991	221.833732498
10rcra	null	null
10rd0a	187.274193548	498.500790091
10rdtd	275.850726552	566.133893509
10reg5	463.898989899	418.500123576
10rjpc	12.2788461538	38.3176141287
10rlmh	233.682539683	485.718705758
10rmu6	11.125	10.9079959204
10s80z	191.252559727	483.225593027
10sh0u	217.04950495	345.588044584
10t335	209.046357616	442.256380915
10t69c	26.5431654676	110.40766483
10t6ug	209.408866995	362.936131824
10t9s6	87.6056838366	276.727798305
10taun	392.858585859	574.768728371
10tg9l	206.226415094	317.59120761
10tij1	28	0
10tmbg	282.739393939	326.910513137
10trx0	101.6	81.0742869226
10ubdi	43.6936936937	174.568595299
10ucg5	100.502857143	284.71728081
10uea0	175.860730594	355.412373856
10ul61	147.52173913	223.805791114
10us7l	6.8571428571	5.8658471908
10uvvg	255.80952381	288.518759927
10vd9m	null	null
10vfo6	8.4166666667	5.6340975813
10vi4z	162.69	317.415522462
10vj9o	99.0955631399	332.354897509
10vmb0	252.6875	255.479137786
10vrnl	73.25	139.532926222
10vt1o	351.98989899	377.348310415
10vtdr	58.6956521739	126.8221743
10vy6a	609	401
10w5yb	286.666666667	448.678969265
10wrvl	188.820512821	207.683915627
10wwhh	345.616161616	423.415756879
10wz4u	161.65	270.869576549
10xgsp	2	0
10xhi4	67.9285714286	126.549894707
10xjs4	178	258.813639517
10xo7t	291.702631579	333.076905128
10xol3	298.484567901	627.275878334
10xqk8	null	null
10xr68	275.230769231	426.270797615
10xv8r	84.1818181818	243.196074348
10xwch	74.2818791946	189.085864539
10xxwa	170.798722045	375.88309786
10y3d6	506	257.913745272
10ybjz	477	599.842896099
10yccs	507.214285714	629.117202182
10yfvd	184.131313131	535.617959854
10z2h8	168.295918367	347.27276256
10z83d	81.5	72.5
10zb2e	33.6315789474	127.437171528
10ze0u	165.4	445.480908682
10zhh0	18.0227272727	64.927052996
10zm72	57.3	148.829690138
10zmz0	441.020618557	520.246927482
10znp1	84.6761565836	248.513226914
10znvb	208.277227723	253.581088982
10zo1d	98.6557377049	84.7035109199
10zuod	175.255102041	195.252181844
10zvow	290.441176471	341.972495555
10zzr0	null	null
11037x	344.135135135	513.811783931
1103yd	134	0
1105va	202	327.564606496
1109j3	134.625994695	427.58771345
110b57	465.5	231.257972836
110cvn	18.1111111111	30.3331298324
1112pw	376.445945946	522.755372532
11132k	851.544776119	894.989315501
111cdd	159.428571429	306.354070197
111ekx	54.03125	94.9323721048
111f2l	48.9081632653	182.094115985
111hn9	130.12195122	441.354328929
111hqj	240.158163265	463.219787923
111inr	27.0722891566	93.7992965181
111jrn	130.246753247	179.923588099
111pfb	323.4	547.082297283
111y57	null	null
1126m2	729.052447552	1060.6964268
112hxe	37.4615384615	67.8648151555
112l0t	138.786432161	472.278042964
112qat	146.537634409	427.593102712
112rqp	29.8860759494	95.3365772968
112y2b	39.4466019417	103.442092816
1130tf	205	0
11378l	97.839869281	426.940296578
113ii8	672.54	739.804709636
113kum	38.7410714286	97.995147979
113t56	518.666666667	228.447416755
113vtg	448	716.415033343
113wvt	25.1739130435	58.9079253352
113yhr	54.3414634146	144.957960223
113yu5	1230	0
1142qm	279.101010101	289.164225645
1142yc	170.440944882	301.005575943
