id	titlescore	titlestd		id	titlescore	titlestd
126evi	1.6666666667	0.9428090416		1r1qdh	null	null
12pr6b	1.6666666667	0.9428090416		1rhq9j	131.434343434	185.389089151
1ffbxi	1.6666666667	0.9428090416		1r7j30	110.666666667	23.6971634496
1rec5o	1.6666666667	0.9428090416		1ogq9q	46.5	0.5
1rj3zd	1.6666666667	0.9428090416		1q3ofi	null	null
1rjeu3	1.6666666667	0.4714045208		12lb32	null	null
1rl9lr	1.6666666667	0.9428090416		1qtxzh	81.8	104.286911931
1ro9it	1.6666666667	0.7453559925		1ppy84	null	null
1roi7i	1.6666666667	0.4714045208		1nmqvy	324.528846154	406.061831137
1rpnf5	1.6666666667	0.9428090416		15887t	423.416666667	597.14172778
1rpu6d	1.6666666667	0.4714045208		1rkfxo	70.7473684211	203.672697621
19gl36	1.75	0.4330127019		pndav	184.065217391	348.386367363
1arz3e	1.75	0.8291561976		1qwo87	null	null
1rdmvy	1.75	1.2990381057		1qhvof	190.383838384	370.849794175
1rhy9s	1.75	0.8291561976		1dqpix	10	0
1ro0in	1.75	1.2990381057		16olj1	28	0
1qxuip	1.8333333333	0.8975274679		17r1k3	197.375	208.193382159
10maf7	2	0		x2uta	116.597701149	321.204251978
10xgsp	2	0		1r4327	21.5	4.5
1175wq	2	0		1i88ev	101.75	144.631212053
11msjn	2	1		u7u9i	null	null
15rztv	2	0		1qt4fa	null	null
16jq95	2	0		1r6gg2	null	null
16o9ce	2	0.894427191		1rnt7q	4.3125	6.2920460702
18bf2y	2	0		1rbvn1	39.3333333333	110.74043726
18vrg9	2	0		mmbgf	13.21875	20.3527245949
18y77u	2	0		1l9e8d	320.295918367	425.172863025
1bdz0t	2	0		14q80p	null	null
1cutq7	2	0		11yvsh	141.236363636	284.798427194
1d0qzp	2	0		1av4ww	215.090909091	323.769062569
1eyqdi	2	0		1rlrjq	188.571428571	521.347961806
1h4y1b	2	0		y54m7	71.5	62.5
1imlt8	2	0		1r7eyr	55.8734177215	150.631948726
1ivxbm	2	1		194yb9	95.625	125.444148429
1jmjv8	2	1		17vc8z	255.5	283.611089346
1johvg	2	0		1jz2du	112	41
1jpo5e	2	0		1e8vvl	263.2	464.382859287
1ljzuf	2	1		1qcl73	161.949152542	192.611968205
1ls4qy	2	1.4142135624		1c2dvj	74	0
1nuna4	2	0		1qir1g	null	null
1nv0dt	2	0		1raxlr	68.8266666667	238.263404566
1oz0bz	2	0		1r0hla	20	16.3910544709
1ozwob	2	0		rgpj4	171.520408163	291.513896108
1p1kku	2	0		1jnwzp	258.888888889	447.970031666
1potq7	2	1		yyjql	237.583333333	400.178305745
1q3ice	2	0		1embxp	309.121212121	447.738543672
1qt76r	2	0		1q3sfc	441.048780488	544.723154174
1qv9oz	2	0.7071067812		169dez	190.4	231.191673726
1qvs7l	2	0		1ql841	138.03960396	239.376910671
1qvvpn	2	1		1qi13f	142.75	211.53826486
1qzb91	2	0		1ovgod	186.8	189.372014828
1r12y1	2	0		ozwb9	133.602040816	183.699940553
1r2kgr	2	0		tgf54	null	null
1r2yus	2	0		1pvrnm	137.2	123.344071605
1r3fsw	2	0		1o1den	346.736842105	489.455803295
1r49zp	2	0		1qjfuh	217.666666667	116.052670035
1r7x6p	2	0		1qimeq	266.5	208.943174093
1r7xhw	2	0		16pke2	82.8043478261	129.555363282
1r9skz	2	0		1awr5c	196.484848485	345.881697637
1raki4	2	1		1i2wu8	184.161616162	284.642065045
1rarw1	2	0.8164965809		1rd7fv	203.060606061	357.506369744
1rbj71	2	0		1rhx0y	261.285714286	232.700122344
1rc1p6	2	0		ziyx4	230.01010101	381.201781053
1rcjnq	2	0		1r78gb	3.3333333333	1.2472191289
1rcqnv	2	0		1rdoii	322.21	496.713061938
1rd2z5	2	1		1mvh82	null	null
1rdfv1	2	0		1d5foz	83.5384615385	82.7169551819
1re01e	2	0		1phu2n	null	null
1reaxd	2	0		145g6g	null	null
1rf4ox	2	0		1pfh4c	198.541666667	158.452931804
1rfy9t	2	0		1bsmog	120.203389831	102.363721669
1rifph	2	0		tz8sl	229.967741935	204.936258205
1rin4y	2	0		1pd8f9	null	null
1rj04u	2	0		1p4d81	257.545454545	313.004639741
1rj8bw	2	0		1lzdak	97.6666666667	86.445872596
1rjnbg	2	0		16cx1c	196.158536585	243.12736146
1rjodg	2	1		16kqwn	154.54	285.606387183
1rkdp4	2	0		1rqdb6	17	0
1rkutv	2	0		1rbu8e	171.089285714	373.952980084
1rkyez	2	1.4142135624		1ikvz7	null	null
1rl0i0	2	0		145l7c	211.137931034	322.718380928
1rlpki	2	1.4142135624		1rdqi0	406.525252525	475.791511582
1rlshw	2	0.8164965809		1ki18h	144.52173913	174.316022254
1rmpcn	2	0.8164965809		1ra9vc	479.923076923	664.885352933
1rmpm7	2	1.2649110641		1lpioa	449.373737374	503.306252249
1rmsdh	2	0		1hb0me	270.607843137	384.78073266
1rmuoj	2	0		1agit9	null	null
1rn9xb	2	0		1rhy5m	null	null
1rndda	2	0		1pidoi	null	null
1rnxsk	2	0		1r841y	14	5
1roobc	2	0		1cct6k	null	null
1rotx5	2	1		1pdep7	null	null
1rowux	2	0		1fv9qi	null	null
1rozfi	2	0.894427191		14t5w8	285	0
1rozo5	2	1		1pipht	252.305084746	246.216816003
1rp t	2	0		1rpvnm	22.3552631579	93.792562822
1rp8su	2	0		14yh4d	126.105263158	224.844092901
1rpkem	2	0		10hptz	218.738095238	335.409845919
1rpwu7	2	0		1no6nj	249.316831683	268.190966789
1rqfhy	2	0		1jajm7	234.757575758	313.726448781
m4mda	2	0		1pcyk3	null	null
qttwd	2	1		1e4wwd	181.540816327	430.821146857
w6eqi	2	0		uioe0	null	null
1dmdjx	2.0833333333	0.9537935952		1rl0k3	44.4102564103	165.74716374
1raob3	2.125	1.1659223816		1pvxl9	null	null
1rnm1k	2.1818181818	1.5850541613		1co2wp	null	null
1rbyp8	2.25	1.2990381057		1mjaam	83.55	105.651538086
1rpuu8	2.25	1.4361406616		1f71l7	204	0
1rpxnw	2.25	2.1650635095		1px2km	null	null
15krjt	2.2857142857	1.5779087167		19rvia	264.625	308.149289104
1rq841	2.2857142857	2.2497165354		1r93wx	20.3076923077	51.9842943965
1b1qv6	2.3333333333	1.1055415968		1r4fsf	849	0
1dmidq	2.3333333333	1.1055415968		1rhxw9	8.3076923077	13.1931486612
1lj0yc	2.3333333333	1.2472191289		1rd6nk	1	0
1qsm5i	2.3333333333	0.4714045208		1r28r6	308.612149533	484.380782128
